name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
OBI,Toots Thielemans,0.566,0.314,4,-17.921,0,0.0761,0.756,0.000442,0.0845,0.337,82.007,265573,4
Mas Que Nada,Jorge Ben Jor,0.504,0.566,2,-7.506,0,0.0284,0.563,1.75e-05,0.0902,0.573,89.423,180840,4
Laia Ladia,Brazilian Jazz,0.387,0.469,9,-13.485,0,0.0419,0.226,0.0424,0.074,0.509,85.595,191400,4
Triste,Brazilian Jazz,0.61,0.34,2,-11.653,1,0.034,0.906,0.859,0.0975,0.459,103.825,131400,4
Só Danço Samba,Stan Getz,0.611,0.279,8,-12.032,1,0.0554,0.838,0.438,0.131,0.677,81.546,214733,4
Samba Triste,Stan Getz,0.637,0.19,9,-22.466,0,0.0676,0.841,0.263,0.12,0.687,143.111,283627,4
País Tropical,Wilson Simonal,0.708,0.599,5,-9.516,1,0.0336,0.693,0.0,0.296,0.917,129.048,209213,4
Coracao Vagabundo,Toots Thielemans,0.584,0.0506,8,-20.168,1,0.0647,0.901,0.163,0.0693,0.126,97.627,269227,5
Pais Tropical,Sergio Mendes & Brasil '66,0.701,0.585,5,-9.991,1,0.0444,0.484,0.0,0.815,0.845,122.276,164720,4
Life On Mars?,Seu Jorge,0.66,0.148,10,-16.689,1,0.0497,0.893,0.00175,0.117,0.272,124.058,209067,4
Apelo,Brazilian Jazz,0.506,0.252,2,-14.083,0,0.0502,0.919,0.863,0.111,0.2,74.917,195600,4
"O Que É, O Que É",Cesar Camargo Mariano & Romero Lubambo,0.696,0.322,5,-15.868,1,0.0372,0.978,0.879,0.0737,0.658,105.776,368027,4
Maroca,Mundo Livre,0.652,0.725,1,-7.794,0,0.0316,0.0335,0.0284,0.177,0.581,147.876,307347,4
Apelo,Jenny Chi,0.531,0.153,2,-12.022,1,0.0356,0.923,0.000131,0.125,0.164,81.972,361800,4
Samba Da Minha Terra - Live At Carnegie Hall/1964,Stan Getz,0.576,0.322,4,-23.134,0,0.178,0.879,0.593,0.694,0.805,83.696,188280,4
Corcovado,Stan Getz,0.53,0.0902,9,-18.37,0,0.0469,0.926,0.00782,0.286,0.364,126.648,258560,4
Chega de Saudade,Jenny Chi,0.745,0.368,0,-11.419,1,0.0498,0.83,0.00292,0.151,0.582,98.953,190960,4
Coisa Feita,Toots Thielemans,0.579,0.342,7,-17.379,1,0.042,0.879,0.813,0.109,0.774,117.024,266373,4
Felicia and Bianca,Toots Thielemans,0.575,0.274,2,-18.579,0,0.0472,0.686,0.343,0.102,0.628,105.678,179960,4
Rosa Morena,Dorival Caymmi,0.526,0.489,0,-11.555,0,0.0354,0.206,0.0,0.105,0.717,95.995,138693,4
Insensatez,Stan Getz,0.67,0.187,5,-15.997,1,0.037,0.945,0.618,0.104,0.305,127.676,203560,4
Menina Moca,Stan Getz,0.593,0.475,4,-10.763,0,0.0336,0.797,0.000373,0.129,0.789,106.501,341867,4
So Nice (Summer Samba),Marcos Valle,0.773,0.492,6,-11.472,1,0.0397,0.549,0.0,0.103,0.822,122.054,148853,4
Santa Maria de Feira,Devendra Banhart,0.542,0.377,2,-12.211,1,0.033,0.933,0.319,0.15,0.729,107.113,275493,4
Já Sei Namorar - 2004 Digital Remaster,Tribalistas,0.67,0.822,9,-6.687,0,0.057,0.67,0.00115,0.132,0.833,145.56,196987,4
Blue Bossa,Tete Montoliu,0.599,0.518,8,-13.434,1,0.0553,0.823,0.87,0.2,0.962,110.723,443787,4
Aguas De Março,Tempo Rei,0.797,0.411,0,-10.07,0,0.0896,0.79,0.0,0.101,0.606,135.955,223440,4
Bossa Dorado,Pete Krebs & The Kung Pao Chi,0.78,0.446,0,-13.332,1,0.0499,0.708,0.843,0.118,0.831,133.222,252987,4
Orange Afternoon,Bebe,0.615,0.63,10,-10.809,1,0.0448,0.43,0.244,0.113,0.557,91.122,249800,4
Homens,Manu Chao,0.736,0.439,9,-12.062,0,0.0527,0.796,0.000474,0.0941,0.972,149.984,198427,4
"Lisboa, Menina E Moça",Som Ibérico,0.524,0.578,4,-10.644,0,0.0505,0.716,0.703,0.0876,0.567,78.644,275017,4
Lisboa menina e moça,Various Artists,0.708,0.333,6,-10.643,0,0.0285,0.862,0.000594,0.0915,0.757,101.86,186697,4
Para Machuchar Meu Coracao,Stan Getz,0.617,0.131,3,-17.83,1,0.0387,0.961,0.0101,0.0987,0.449,131.953,304133,4
Esperando Na Janela - Versão Acústica,Gilberto Gil,0.615,0.157,2,-14.081,1,0.0406,0.93,0.00193,0.114,0.513,148.99,202560,4
Água de beber,Tania Maria,0.771,0.555,7,-12.366,1,0.0493,0.871,0.422,0.0829,0.553,98.094,331773,4
Mama África,Chico César,0.676,0.469,1,-8.715,0,0.0482,0.648,0.0,0.987,0.885,163.709,214827,4
Á Primeira Vista,Chico César,0.542,0.148,11,-12.99,1,0.0394,0.782,0.0,0.704,0.248,89.585,216800,4
Tambores,Chico César,0.598,0.278,0,-11.505,1,0.0472,0.72,0.000161,0.754,0.567,125.032,172907,4
Guarda-me A Vida Na Mão,Ana Moura,0.482,0.136,6,-15.844,0,0.0318,0.946,0.000762,0.104,0.26,135.574,238307,4
A Prosa Impúrpura do Caicó,Chico César,0.505,0.209,2,-14.983,1,0.0387,0.849,0.0094,0.701,0.503,135.836,165667,4
Paraíba,Chico César,0.569,0.186,1,-14.838,0,0.0365,0.959,0.137,0.738,0.536,84.091,235693,4
Berekerê - Voice,Geraldo Azevedo,0.434,0.573,4,-11.203,0,0.0666,0.83,0.0,0.0584,0.786,172.189,316600,4
Pagode da Saidera,Martinho Da Vila,0.584,0.792,7,-10.644,1,0.103,0.723,1.34e-06,0.204,0.938,103.671,181600,4
Disfarça e Chora,Djavan,0.747,0.185,5,-11.699,1,0.0498,0.905,0.0172,0.103,0.588,151.833,186200,4
Tudo isto é fado,Quatro Ventos,0.405,0.317,2,-10.836,1,0.0299,0.9,4.08e-05,0.12,0.315,139.316,243893,4
Quando Te Vi,Luisa Sobral,0.543,0.129,9,-14.344,1,0.0342,0.97,0.0133,0.157,0.353,134.502,161240,4
Sr. Vinho,Luisa Sobral,0.348,0.337,5,-10.368,1,0.0348,0.816,0.000811,0.103,0.398,192.711,181173,3
Inês,Luisa Sobral,0.462,0.0827,0,-13.262,1,0.0371,0.965,0.000489,0.111,0.224,135.193,216147,4
Seja Agora,Deolinda,0.665,0.783,11,-6.046,1,0.083,0.832,0.0,0.0862,0.831,98.179,184133,4
Algo Novo,Deolinda,0.83,0.431,0,-9.463,1,0.0378,0.863,2.26e-05,0.118,0.506,131.959,212920,4
Pois Foi,Deolinda,0.459,0.254,6,-11.39,0,0.0279,0.947,0.00602,0.122,0.494,79.85,185160,4
Há-De Passar,Deolinda,0.776,0.347,4,-9.761,1,0.0562,0.961,0.000404,0.0932,0.51,123.28,146533,4
Xico,Luisa Sobral,0.442,0.56,9,-8.231,1,0.139,0.47,1.53e-05,0.347,0.622,179.643,192773,4
O Engraxador,Luisa Sobral,0.725,0.293,9,-10.315,1,0.0421,0.826,0.000479,0.244,0.343,105.045,184427,4
Clandestino,Chico César,0.635,0.398,2,-12.003,0,0.0694,0.717,4.49e-06,0.671,0.504,172.19,167133,4
Trem das Onze,Demonios Da Garoa,0.566,0.424,2,-9.784,0,0.0413,0.557,7.03e-06,0.144,0.679,91.649,169107,4
Chove Chuva,Jorge Ben Jor,0.714,0.451,10,-8.52,1,0.0385,0.584,0.0,0.0881,0.514,134.969,185720,4
Menina Mulher Da Pele Preta,Jorge Ben Jor,0.591,0.557,1,-10.097,0,0.0584,0.648,0.0486,0.231,0.979,135.65,178107,4
