name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Just Dance,Lady Gaga,0.822,0.737,1,-4.542,0,0.0314,0.0261,4.19e-05,0.18,0.753,118.994,241933,4
All You Need To Know (feat. Calle Lehmann),Gryffin,0.53,0.729,0,-6.019,1,0.0376,0.00699,0.0,0.103,0.219,139.929,238338,4
Blanco,J Balvin,0.87,0.706,9,-5.395,0,0.126,0.0253,0.0063,0.0872,0.593,100.013,145800,4
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,0.355,0.789,5,-4.358,0,0.165,0.0148,0.0,0.0355,0.169,80.444,237686,4
Good Things Fall Apart (with Jon Bellion),ILLENIUM,0.643,0.594,2,-5.453,1,0.0318,0.0128,0.0,0.118,0.442,144.033,216668,4
Dynamite,Taio Cruz,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,202613,4
Bang Bang,Jessie J,0.711,0.774,0,-3.391,0,0.0922,0.259,0.0,0.371,0.715,150.032,199387,4
Nice To Meet Ya,Niall Horan,0.591,0.841,4,-4.351,0,0.0304,0.0119,0.0,0.395,0.392,109.034,158805,4
Mad Love,Mabel,0.622,0.796,0,-2.999,0,0.172,0.667,0.0,0.106,0.62,197.705,169813,4
SOS,Avicii,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001,157202,4
Don't Call Me Up,Mabel,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480,4
Here With Me,Marshmello,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347,4
Wake Me Up,Avicii,0.512,0.803,2,-5.135,1,0.0531,0.00362,0.000583,0.116,0.591,124.162,249693,4
7 rings,Ariana Grande,0.725,0.321,1,-10.744,0,0.323,0.578,0.0,0.0884,0.319,70.142,178640,4
Dance Monkey,Tones And I,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,4
Good Thing (with Kehlani),Zedd,0.693,0.564,1,-3.857,0,0.0378,0.399,0.0,0.0409,0.574,185.913,210901,3
Con Calma,Daddy Yankee,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4
"Alone, Pt. II",Alan Walker,0.67,0.668,3,-4.306,0,0.0422,0.536,0.0,0.133,0.608,88.033,179053,4
Teeth,5 Seconds of Summer,0.755,0.448,3,-2.993,0,0.0405,0.0508,3.87e-06,0.11,0.431,139.028,204887,4
The Mack,Nevada,0.707,0.883,0,-4.281,1,0.0602,0.0707,0.0,0.23,0.541,106.031,167038,4
Lose Control,MEDUZA,0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,168387,4
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,0.478,95.927,159011,4
Crazy In Love (feat. Jay-Z),Beyoncé,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133,4
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,0.614,0.839,0,-4.143,1,0.0702,0.0291,0.0,0.112,0.657,182.123,193040,4
High Hopes,Panic! At The Disco,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
Love Me Again,RAYE,0.716,0.511,5,-6.471,1,0.0479,0.283,0.0,0.0765,0.488,110.019,198133,4
OMG (with Carly Rae Jepsen),Gryffin,0.552,0.623,6,-5.766,1,0.0532,0.0122,0.0123,0.106,0.616,177.973,215737,4
Eastside (with Halsey & Khalid),benny blanco,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,173800,4
Everytime We Touch - Radio Edit,Cascada,0.626,0.976,8,-5.346,1,0.0505,0.00416,1.26e-05,0.397,0.473,142.037,197560,4
Never Really Over,Katy Perry,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,223523,4
Harder (with Bebe Rexha),Jax Jones,0.906,0.833,5,-3.027,0,0.0729,0.0899,0.0,0.154,0.752,104.017,159760,4
Call On Me - Ryan Riback Remix,Starley,0.67,0.838,0,-4.031,1,0.0362,0.0604,0.000611,0.159,0.717,104.998,222041,4
Insomnia,Daya,0.754,0.653,7,-5.095,1,0.0611,0.0944,0.0,0.383,0.379,123.084,179746,4
Rather Be (feat. Jess Glynne),Clean Bandit,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,4
Sayonara,BEAUZ,0.681,0.844,9,-2.277,0,0.188,0.11,2.16e-05,0.218,0.597,121.822,156393,4
Polaroid,Jonas Blue,0.652,0.897,7,-4.481,0,0.036,0.293,0.0,0.0722,0.475,114.033,193377,4
The Middle,Zedd,0.748,0.652,7,-3.02,1,0.058,0.208,0.0,0.128,0.431,106.914,184732,4
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,0.541,0.468,10,-4.039,0,0.362,0.404,3.65e-06,0.358,0.69,95.266,158027,4
All Day And Night,Jax Jones,0.585,0.782,1,-4.101,0,0.0897,0.269,0.0,0.156,0.521,121.908,169303,4
All The Lies (with Felix Jaehn & The Vamps),Alok,0.611,0.835,6,-4.107,1,0.139,0.167,0.0,0.107,0.672,102.023,179457,4
Temperature,Sean Paul,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,218573,4
Physical,Dua Lipa,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.962,193829,4
Stop This Flame,Celeste,0.752,0.702,10,-4.927,0,0.0378,0.296,0.0,0.103,0.324,119.987,209408,4
Sixteen,Ellie Goulding,0.669,0.801,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,201072,4
Want to Want Me,Jason Derulo,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,207719,4
Sucker,Jonas Brothers,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181040,4
Shake It Off,Taylor Swift,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,219000,0
Who Do You Love,The Chainsmokers,0.51,0.835,3,-4.673,1,0.0447,0.00791,0.0,0.219,0.435,140.024,226747,4
Drown (feat. Clinton Kane),Martin Garrix,0.573,0.739,9,-5.455,1,0.0581,0.212,0.0,0.175,0.363,120.077,174062,4
Stitches,Shawn Mendes,0.746,0.754,1,-6.681,1,0.067,0.0152,0.0,0.0486,0.764,149.882,206880,4
What I Like About You (feat. Theresa Rex),Jonas Blue,0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396,4
Die Young,Sheppard,0.572,0.788,2,-5.318,1,0.052,0.224,0.0,0.168,0.281,119.955,235500,4
I Don’t Even Know You Anymore (feat. Bazzi & Lil Wayne),Netsky,0.709,0.784,9,-3.182,0,0.1,0.23,0.0,0.147,0.584,97.007,167600,4
DJ Got Us Fallin' In Love,Usher,0.666,0.878,7,-2.85,0,0.0973,0.03,0.0,0.0828,0.669,119.932,222160,4
No Sleep (feat. Bonn),Martin Garrix,0.44,0.635,11,-6.385,1,0.0326,0.129,0.0,0.121,0.327,128.133,207095,4
Good Reasons,Jon Lemmon,0.708,0.638,3,-8.406,1,0.0472,0.0226,4.15e-06,0.058,0.283,120.99,225087,4
Sue Me,Sabrina Carpenter,0.46,0.809,6,-5.415,1,0.326,0.0422,5.04e-05,0.138,0.609,157.184,179227,4
Body,Loud Luxury,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4
hot girl bummer,blackbear,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1
Trumpets,Jason Derulo,0.627,0.703,0,-4.884,1,0.236,0.563,0.0,0.0962,0.64,81.897,217307,4
Unwritten,Natasha Bedingfield,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,259333,4
Play,Jax Jones,0.771,0.768,11,-7.773,0,0.0451,0.0266,1.26e-05,0.426,0.607,125.023,186240,4
FRIENDS,Marshmello,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202621,4
I Found You (with Calvin Harris),benny blanco,0.775,0.872,6,-4.194,1,0.0469,0.033,0.0579,0.298,0.379,122.994,191496,4
Yeah! (feat. Lil Jon & Ludacris),Usher,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,250373,4
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,0.575,0.758,1,-5.029,0,0.0618,0.0954,0.0,0.394,0.493,144.107,182623,4
Hips Don't Lie (feat. Wyclef Jean),Shakira,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,218093,4
Single Ladies (Put a Ring on It),Beyoncé,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,193213,4
Sweet but Psycho,Ava Max,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,187436,4
Cool,Jonas Brothers,0.681,0.603,0,-5.533,1,0.0458,0.0105,0.0,0.159,0.643,79.007,167120,4
Youngblood,5 Seconds of Summer,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,203418,4
Somebody,Natalie La Rose,0.83,0.52,0,-8.714,1,0.0376,0.000792,1.25e-05,0.0656,0.735,104.99,189907,4
Price Tag,Jessie J,0.447,0.839,5,-3.948,1,0.254,0.0304,1.76e-06,0.189,0.677,174.959,221240,4
Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,0.643,0.904,0,-3.694,1,0.0739,0.0776,0.0,0.189,0.481,103.028,195419,4
Dura,Daddy Yankee,0.786,0.846,1,-3.468,1,0.0505,0.174,0.0,0.413,0.819,95.005,200480,4
No Lie,Sean Paul,0.743,0.892,7,-2.801,1,0.128,0.046,0.0,0.257,0.472,102.019,221176,4
Post Malone (feat. RANI),Sam Feldt,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,174444,4
Know You Better,FÄIS,0.854,0.586,6,-5.163,1,0.1,0.142,2.77e-06,0.071,0.779,97.974,178144,4
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,207905,4
Mad Love,Sean Paul,0.793,0.824,2,-3.476,1,0.177,0.006,3.29e-06,0.169,0.611,98.019,199945,4
X,Nicky Jam,0.595,0.773,9,-4.736,0,0.0549,0.0364,0.00108,0.334,0.711,180.073,173628,4
Better Now,Post Malone,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,231267,4
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,0.817,0.781,7,-4.178,0,0.112,0.00838,5.21e-06,0.123,0.359,104.0,216707,4
TiK ToK,Kesha,0.755,0.832,2,-2.741,0,0.116,0.0746,1.27e-06,0.291,0.735,120.032,199693,4
Wild Ones (feat. Sia),Flo Rida,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,232947,4
Levels - Radio Edit,Avicii,0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,199904,4
Titanium (feat. Sia),David Guetta,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,4
Low (feat. T-Pain),Flo Rida,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,231400,4
Oops!...I Did It Again,Britney Spears,0.751,0.82,11,-5.538,1,0.0445,0.303,8.92e-06,0.153,0.884,95.075,211693,4
Timber (feat. Ke$ha),Pitbull,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,4
Ain't Nobody (Loves Me Better),Felix Jaehn,0.768,0.567,2,-7.046,0,0.0312,0.66,0.000277,0.07,0.471,117.974,186147,4
In My Mind,Dynoro,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4
Cake By The Ocean,DNCE,0.774,0.764,4,-5.445,0,0.0518,0.156,0.0,0.0383,0.912,118.997,219147,4
All ‘Bout The Money,FAULHABER,0.721,0.779,6,-4.239,0,0.0606,0.142,0.0,0.143,0.327,110.026,169964,4
Middle,DJ Snake,0.611,0.7,9,-5.331,1,0.0436,0.0199,0.0,0.0549,0.213,104.981,220573,4
Perfect Strangers,Jonas Blue,0.742,0.819,1,-5.307,1,0.0487,0.372,0.0,0.277,0.709,117.986,196613,4
Starboy,The Weeknd,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,230453,4
Familiar,Liam Payne,0.636,0.805,9,-4.594,1,0.327,0.0161,0.0,0.0793,0.908,92.958,196552,4
Feelings,John Newman,0.453,0.833,11,-4.248,0,0.068,0.1,0.0,0.0847,0.609,125.535,182727,4
Younger,Jonas Blue,0.784,0.845,3,-2.793,1,0.0596,0.286,1.59e-05,0.074,0.888,105.981,194721,4
Most Girls,Hailee Steinfeld,0.755,0.57,9,-7.132,1,0.0888,0.0416,0.0,0.0891,0.406,102.991,204400,4
Strip That Down,Liam Payne,0.869,0.485,6,-5.595,1,0.0545,0.246,0.0,0.0765,0.527,106.028,204502,4
Bad Liar,Selena Gomez,0.953,0.41,1,-6.543,1,0.0705,0.175,0.0,0.0768,0.718,121.074,214648,4
Tie Me Down (with Elley Duhé),Gryffin,0.548,0.839,6,-2.371,1,0.0644,0.135,0.0,0.102,0.314,98.932,218296,4
REMEDY,Alesso,0.601,0.775,0,-4.612,1,0.0473,0.269,0.0,0.0883,0.483,119.964,190295,4
Look What You Made Me Do,Taylor Swift,0.773,0.68,9,-6.378,0,0.141,0.213,1.57e-05,0.122,0.497,128.062,211859,4
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,0.671,0.672,0,-3.094,0,0.0688,0.0329,0.0,0.118,0.632,97.979,204173,4
Never Alone,Felix Jaehn,0.675,0.827,8,-4.793,0,0.038,0.0559,2.46e-06,0.126,0.446,125.988,176594,4
Symphony (feat. Zara Larsson),Clean Bandit,0.707,0.629,0,-4.581,0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,212459,4
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,0.782,0.685,4,-6.237,1,0.0309,0.166,1.18e-05,0.16,0.603,118.016,180566,4
Five More Hours - Deorro x Chris Brown,Deorro,0.704,0.802,5,-6.175,0,0.217,0.0355,0.0,0.682,0.526,127.973,212640,4
Pompeii,Bastille,0.681,0.709,9,-6.488,1,0.041,0.0749,0.0,0.266,0.591,127.44,214148,4
Airplanes (feat. Hayley Williams of Paramore),B.o.B,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,180480,4
Uptown Funk (feat. Bruno Mars),Mark Ronson,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4
Are You With Me,Lost Frequencies,0.763,0.608,5,-8.1,0,0.035,0.262,2.5e-05,0.12,0.394,121.02,138013,4
King,Years & Years,0.55,0.665,4,-8.523,0,0.0377,0.0122,0.0,0.404,0.45,120.046,214267,4
Where Are Ü Now (with Justin Bieber),Skrillex,0.476,0.742,7,-5.106,1,0.0587,0.045,2.85e-06,0.066,0.193,139.808,251293,4
El Perdón,Nicky Jam,0.622,0.701,8,-5.452,1,0.0559,0.423,0.0,0.0955,0.645,179.998,207013,4
FourFiveSeconds,Rihanna,0.582,0.272,2,-5.662,1,0.0501,0.875,0.0,0.13,0.354,205.846,188238,4
Nobody,Martin Jensen,0.673,0.687,6,-5.295,0,0.0623,0.269,0.0,0.181,0.524,96.964,211040,4
What Do You Mean?,Justin Bieber,0.841,0.571,5,-8.066,0,0.102,0.65,0.00033,0.0895,0.772,125.032,207547,4
Hey Mama (feat. Nicki Minaj & Afrojack),David Guetta,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,192560,4
How Deep Is Your Love,Calvin Harris,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,212640,4
One Last Time,Ariana Grande,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4
Shut Up and Dance,WALK THE MOON,0.576,0.876,1,-3.82,1,0.0641,0.00651,1.25e-06,0.271,0.613,128.04,198720,4
Don't Look Down (feat. Usher),Martin Garrix,0.582,0.828,0,-5.976,1,0.0354,0.00322,0.000637,0.109,0.346,127.995,223773,4
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,0.854,0.766,9,-4.697,0,0.141,0.0242,0.0,0.0793,0.784,118.004,224258,4
Hold My Hand,Jess Glynne,0.642,0.823,0,-5.717,1,0.0289,0.00159,0.0,0.0776,0.431,122.977,227344,4
Worth It (feat. Kid Ink),Fifth Harmony,0.881,0.736,8,-4.917,1,0.0965,0.0655,5.42e-06,0.122,0.553,99.987,224080,4
Lush Life,Zara Larsson,0.694,0.712,7,-3.923,0,0.046,0.133,0.0,0.211,0.799,98.022,201122,4
Heroes (we could be),Alesso,0.519,0.75,5,-4.153,1,0.0554,0.0364,0.0,0.212,0.366,125.859,209867,4
I Want You To Know,Zedd,0.561,0.877,9,-2.215,0,0.0659,0.00621,8.11e-06,0.28,0.375,130.003,238800,4
Blame (feat. John Newman),Calvin Harris,0.412,0.859,0,-4.096,0,0.085,0.0282,0.00766,0.404,0.367,127.931,214427,4
Blurred Lines,Robin Thicke,0.862,0.503,7,-7.703,1,0.0494,0.00453,1.87e-05,0.0761,0.863,119.998,263053,4
Happy,Pharrell Williams,0.652,0.757,1,-6.819,1,0.153,0.286,0.0,0.0886,0.962,159.911,233305,4
Thrift Shop (feat. Wanz),Macklemore,0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,235613,4
I Love It (feat. Charli XCX),Icona Pop,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,157153,4
Fireball (feat. John Ryan),Pitbull,0.761,0.933,10,-5.38,1,0.056,0.0908,8.53e-05,0.0607,0.836,122.959,236200,4
Bailando - English Version,Enrique Iglesias,0.723,0.85,7,-3.508,1,0.0879,0.0841,0.0,0.0697,0.937,90.957,242331,4
Shower,Becky G,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167,4
Sing,Ed Sheeran,0.818,0.67,8,-4.451,0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,235382,4
Sexy Bitch (feat. Akon),David Guetta,0.815,0.633,11,-4.99,0,0.0486,0.0744,0.000287,0.148,0.853,130.016,195853,4
Love Me Again,John Newman,0.485,0.915,2,-3.469,0,0.0544,0.00441,0.00112,0.0987,0.201,126.027,240289,4
Whistle,Flo Rida,0.754,0.933,0,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992,225000,4
This Girl - Kungs Vs. Cookin' On 3 Burners,Kungs,0.79,0.705,0,-4.684,0,0.0383,0.0807,4.81e-05,0.251,0.501,121.969,195561,4
Don't You Worry Child - Radio Edit,Swedish House Mafia,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,212862,4
Miss Independent,Ne-Yo,0.668,0.673,1,-5.714,1,0.145,0.48,0.0,0.194,0.727,171.812,232000,4
Cheap Thrills,Sia,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4
Don't Let Me Down,The Chainsmokers,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373,4
Scars To Your Beautiful,Alessia Cara,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,230227,4
In the Name of Love,Martin Garrix,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,195707,4
Sun Is Shining,Axwell /\ Ingrosso,0.284,0.774,2,-3.039,1,0.0685,0.0863,0.0,0.0744,0.362,131.381,255066,4
Summer,Calvin Harris,0.603,0.861,4,-3.565,0,0.0325,0.0215,0.043,0.1,0.72,127.962,224507,4
What Makes You Beautiful,One Direction,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,199987,4
Sexy And I Know It,LMFAO,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,199480,4
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,252307,4
Wiggle (feat. Snoop Dogg),Jason Derulo,0.697,0.621,9,-6.886,0,0.25,0.0802,0.0,0.162,0.721,81.946,193296,4
My House,Flo Rida,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191,4
Viva La Vida,Coldplay,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4
Raise Your Glass,P!nk,0.7,0.708,7,-4.952,1,0.0869,0.00624,0.0,0.031,0.619,122.029,203267,4
Fuck You,CeeLo Green,0.693,0.879,0,-3.988,1,0.0578,0.193,0.0,0.124,0.753,127.457,223694,4
Scared to Be Lonely,Martin Garrix,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883,4
Fight Song,Rachel Platten,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,204013,4
Pony,Ginuwine,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,251733,4
24K Magic,Bruno Mars,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4
Weak,AJR,0.675,0.632,5,-4.542,1,0.0439,0.122,0.0,0.141,0.704,124.035,202187,4
All Night,The Vamps,0.563,0.775,8,-6.433,1,0.0366,0.00251,0.0,0.326,0.458,144.945,197793,4
Just Hold On,Steve Aoki,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,198774,4
Starving,Hailee Steinfeld,0.636,0.633,4,-4.23,1,0.126,0.371,0.0,0.102,0.512,99.721,181880,4
Touch,Little Mix,0.607,0.718,4,-4.095,1,0.0978,0.032,0.0,0.403,0.551,101.821,213307,4
Shout Out to My Ex,Little Mix,0.774,0.739,0,-4.022,1,0.0952,0.0316,5.95e-06,0.119,0.823,126.002,246240,4
Say My Name,Destiny's Child,0.522,0.676,5,-3.571,0,0.16,0.274,0.0,0.134,0.746,67.427,271333,4
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,4
2002 - Jay Pryor Remix,Anne-Marie,0.759,0.868,4,-4.269,1,0.0486,0.131,1.87e-05,0.226,0.704,117.953,183078,4
The Way I Are (Dance with Somebody) - DallasK Remix,Bebe Rexha,0.683,0.87,2,-4.321,1,0.0691,0.0427,5.65e-05,0.0991,0.509,116.933,182627,4
It Wasn't Me,Shaggy,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,227600,4
Havana (feat. Young Thug),Camila Cabello,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4
Wannabe,Spice Girls,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,173027,4
Mi Gente (feat. Beyoncé),J Balvin,0.705,0.714,11,-6.39,0,0.0792,0.0249,0.0,0.253,0.434,104.996,209733,4
Lost In Japan - Remix,Shawn Mendes,0.706,0.855,10,-5.377,1,0.215,0.0911,0.0,0.347,0.293,107.184,201253,4
Hollaback Girl,Gwen Stefani,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,199853,4
I Gotta Feeling,Black Eyed Peas,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,4
Moves Like Jagger - Radio Edit,Maroon 5,0.719,0.736,11,-5.534,0,0.051,0.00902,0.0,0.288,0.645,128.034,201213,4
Sola,Luis Fonsi,0.737,0.525,6,-6.677,0,0.25,0.509,0.0,0.0608,0.483,127.97,205053,3
I Kissed A Girl,Katy Perry,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,179640,4
Bumpy Ride,Mohombi,0.709,0.854,0,-4.447,0,0.0399,0.047,0.0,0.0724,0.826,105.074,224402,4
Black Magic,Little Mix,0.775,0.885,4,-5.023,1,0.061,0.033,0.0,0.312,0.82,111.997,212720,4
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,0.734,0.765,7,-5.562,1,0.0621,0.151,0.0,0.231,0.518,109.989,163636,4
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,163870,4
Policeman - Radio Edit,Eva Simons,0.635,0.959,4,-1.568,0,0.134,0.0419,1.41e-06,0.301,0.85,104.694,194000,4
Nightmare,Halsey,0.611,0.622,9,-5.075,0,0.0734,0.0188,0.0,0.359,0.538,146.11,231999,4
I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4
Sex,Cheat Codes,0.604,0.691,0,-5.807,1,0.159,0.00493,0.0,0.125,0.186,105.014,228360,4
All Time Low,Jon Bellion,0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246,217603,4
Take This Ride,Vigiland,0.608,0.536,8,-5.355,0,0.0469,0.00704,3.59e-05,0.46,0.167,112.035,203841,4
Too Close (with Wrabel),Louis The Child,0.541,0.791,4,-4.183,1,0.223,0.0539,0.0,0.11,0.314,105.792,208474,4
I’m Ready (with Demi Lovato),Sam Smith,0.501,0.674,5,-6.363,1,0.0408,0.00346,3.56e-05,0.282,0.152,155.051,200838,4
Level of Concern,Twenty One Pilots,0.754,0.583,4,-7.34,0,0.0432,0.32,0.00015,0.144,0.77,122.012,220051,4
Don't Be Cruel,Elvis Presley,0.697,0.55,2,-11.496,1,0.179,0.856,3.44e-05,0.0907,0.844,84.802,122893,4
I've Got You Under My Skin - Remastered 1998,Frank Sinatra,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,0.591,127.15,223760,4
Smoke Gets In Your Eyes,The Platters,0.29,0.227,3,-13.06,1,0.0311,0.944,7.95e-05,0.617,0.224,114.278,157293,4
"What'd I Say, Pt. 1 & 2",Ray Charles,0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385,307053,4
Dream A Little Dream Of Me,Ella Fitzgerald,0.455,0.167,0,-13.613,1,0.0739,0.918,0.0,0.173,0.404,76.118,185067,4
That'll Be The Day,Buddy Holly,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24,150133,4
Blueberry Hill,Fats Domino,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341,147880,3
Beyond the Sea,Bobby Darin,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,172480,4
All I Have to Do Is Dream,The Everly Brothers,0.542,0.347,4,-14.011,1,0.0268,0.783,0.0,0.144,0.596,103.709,141240,4
All Shook Up,Elvis Presley,0.624,0.468,10,-12.162,1,0.132,0.881,6.35e-06,0.144,0.952,74.139,117080,4
That's Amore,Dean Martin,0.407,0.17,10,-13.409,1,0.0341,0.76,0.0,0.0737,0.577,124.047,188267,4
